STATE, YEAR, CITY, Total Population,Population Density (Per Sq. Mile),Area (Land),Area Total,Area (Water),Male,Female,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Households,Family Households,Married-Couple Family,Other Family,Male Householder No Wife Present,Female Householder No Husband Present,Nonfamily Households,Male Householder,Female Householder,Renter-Occupied Housing Units,1-Person Household,2-Person Household,3-Person Household,4-Person Household,5-Person Household,6-Person Household,7-or-More Person Household,Population 25 Years and Over,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Population 16 Years and Over,In Labor Force,In Armed Forces,Civilian,Employed,Unemployed,Not in Labor Force,Civilian Population in Labor Force 16 Years and Over,Total Employed Civilian Population 16 Years and Over,Agriculture Forestry Fishing and Hunting and Mining,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing and Utilities,Information,Finance and Insurance and Real Estate and Rental  and Leasing,Professional Scientific and Management and    Administrative and Waste Management Services,Educational Services and Health Care and Social  Assistance,Arts Entertainment and Recreation and  Accommodation and Food Services,Other Services Except Public Administration,Public Administration,Average Household Income (In 2019 Inflation-Adjusted Dollars),Gini Index,Workers 16 Years and Over,Car Truck or Van,Drove Alone,Carpooled,Public Transportation (Includes Taxicab),Motorcycle,Bicycle,Walked,Other Means,Worked At Home
Alabama, 2019, Birmingham city, 210080.0, 1438.22, 146.07, 148.62, 2.55, 98939.0, 111141.0, 58595.0, 142107.0, 1323.0, 3497.0, 0.0, 1877.0, 2681.0, 93300.0, 46816.0, 24531.0, 22285.0, 3452.0, 18833.0, 46484.0, 20715.0, 25769.0, 55512.0, 26828.0, 16118.0, 6946.0, 3258.0, 1610.0, 666.0, 86.0, 149277.0, 17352.0, 43461.0, 44368.0, 26271.0, 11773.0, 3764.0, 2288.0, 173416.0, 102973.0, 53.0, 102920.0, 95404.0, 7516.0, 70443.0, 102920.0, 95404.0, 103.0, 4483.0, 8640.0, 2220.0, 9218.0, 4229.0, 2196.0, 5260.0, 12374.0, 26315.0, 10346.0, 5909.0, 4111.0, 55896.0, 0.52, 93401.0, 83581.0, 75297.0, 8284.0, 1792.0, 327.0, 460.0, 2483.0, 2605.0, 2153.0
Alabama, 2019, Dothan city, 68522.0, 763.86, 89.7, 90.02, 0.32, 33029.0, 35493.0, 40302.0, 24139.0, 77.0, 847.0, 21.0, 1739.0, 1397.0, 27103.0, 16607.0, 11017.0, 5590.0, 893.0, 4697.0, 10496.0, 4346.0, 6150.0, 11212.0, 4966.0, 3046.0, 1382.0, 1147.0, 473.0, 187.0, 11.0, 48558.0, 7101.0, 13301.0, 15502.0, 8068.0, 3095.0, 1072.0, 419.0, 55351.0, 30085.0, 276.0, 29809.0, 27763.0, 2046.0, 25266.0, 29809.0, 27763.0, 9.0, 1165.0, 2204.0, 1140.0, 4401.0, 2182.0, 383.0, 1091.0, 2272.0, 7381.0, 3012.0, 1337.0, 1186.0, 71042.0, 0.51, null, null, null, null, null, null, null, null, null, null
Alabama, 2019, Hoover city, 85772.0, 1792.32, 47.86, 48.82, 0.96, 40719.0, 45053.0, 61453.0, 16972.0, 0.0, 3659.0, 0.0, 1978.0, 1710.0, 32461.0, 23672.0, 18441.0, 5231.0, 1590.0, 3641.0, 8789.0, 3776.0, 5013.0, 10070.0, 4037.0, 2564.0, 1319.0, 1373.0, 677.0, 100.0, 0.0, 58462.0, 2365.0, 7519.0, 15333.0, 18619.0, 9630.0, 3718.0, 1278.0, 66774.0, 44701.0, 252.0, 44449.0, 42808.0, 1641.0, 22073.0, 44449.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 122222.0, 0.42, null, null, null, null, null, null, null, null, null, null
Alabama, 2019, Huntsville city, 201594.0, 940.45, 214.36, 215.73, 1.37, 96741.0, 104853.0, 120229.0, 65522.0, 607.0, 3498.0, 132.0, 7133.0, 4473.0, 88930.0, 52166.0, 35403.0, 16763.0, 4325.0, 12438.0, 36764.0, 17519.0, 19245.0, 40202.0, 17452.0, 13086.0, 4648.0, 2970.0, 1279.0, 724.0, 43.0, 137274.0, 11860.0, 22840.0, 41229.0, 36462.0, 20380.0, 2099.0, 2404.0, 164486.0, 105108.0, 669.0, 104439.0, 100282.0, 4157.0, 59378.0, 104439.0, 100282.0, 159.0, 5347.0, 11820.0, 909.0, 10338.0, 3356.0, 1605.0, 4090.0, 19207.0, 20478.0, 11823.0, 4085.0, 7065.0, 76947.0, 0.48, 99433.0, 91635.0, 83626.0, 8009.0, 615.0, 109.0, 47.0, 1835.0, 590.0, 4602.0
Alabama, 2019, Mobile city, 188710.0, 1353.76, 139.4, 180.06, 40.66, 87907.0, 100803.0, 73758.0, 104747.0, 511.0, 3487.0, 61.0, 1305.0, 4841.0, 77628.0, 41260.0, 26133.0, 15127.0, 2763.0, 12364.0, 36368.0, 16599.0, 19769.0, 37175.0, 19054.0, 9824.0, 3961.0, 1413.0, 1489.0, 978.0, 456.0, 127563.0, 11789.0, 39850.0, 35625.0, 25019.0, 10469.0, 3081.0, 1730.0, 151726.0, 89803.0, 252.0, 89551.0, 84652.0, 4899.0, 61923.0, 89551.0, 84652.0, 583.0, 5056.0, 7736.0, 2781.0, 10562.0, 4101.0, 866.0, 4535.0, 8973.0, 21636.0, 8382.0, 4666.0, 4775.0, 63418.0, 0.48, null, null, null, null, null, null, null, null, null, null
Alabama, 2019, Montgomery city, 198525.0, 1241.99, 159.84, 162.18, 2.34, 93708.0, 104817.0, 62981.0, 120428.0, 591.0, 6933.0, 0.0, 3446.0, 4146.0, 78225.0, 45031.0, 25893.0, 19138.0, 2918.0, 16220.0, 33194.0, 15547.0, 17647.0, 35851.0, 16313.0, 8491.0, 4764.0, 3083.0, 1376.0, 1326.0, 498.0, 130848.0, 14314.0, 31847.0, 39381.0, 26054.0, 14546.0, 3273.0, 1433.0, 154371.0, 98871.0, 2672.0, 96199.0, 90902.0, 5297.0, 55500.0, 96199.0, 90902.0, 395.0, 4576.0, 10053.0, 2025.0, 8862.0, 4146.0, 972.0, 5998.0, 9535.0, 21328.0, 8940.0, 5255.0, 8817.0, 67998.0, 0.46, null, null, null, null, null, null, null, null, null, null
Alabama, 2019, Tuscaloosa city, 101133.0, 1638.88, 61.71, 71.78, 10.07, 49893.0, 51240.0, 50849.0, 46061.0, 0.0, 2808.0, 0.0, 233.0, 1182.0, 36779.0, 20176.0, 12508.0, 7668.0, 2639.0, 5029.0, 16603.0, 8462.0, 8141.0, 19672.0, 8396.0, 6206.0, 3656.0, 648.0, 653.0, 113.0, 0.0, 60968.0, 6783.0, 17068.0, 14998.0, 12677.0, 5690.0, 1621.0, 2131.0, 86556.0, 49002.0, 0.0, 49002.0, 46477.0, 2525.0, 37554.0, 49002.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 73073.0, 0.54, null, null, null, null, null, null, null, null, null, null
Arizona, 2019, Avondale city, 87917.0, 1942.96, 45.25, 45.32, 0.07, 42552.0, 45365.0, 61927.0, 9896.0, 1072.0, 1707.0, 602.0, 9326.0, 3387.0, 25339.0, 19254.0, 13062.0, 6192.0, 1838.0, 4354.0, 6085.0, 3100.0, 2985.0, 10440.0, 2064.0, 2185.0, 2004.0, 1731.0, 1403.0, 575.0, 478.0, 52292.0, 8658.0, 15131.0, 17757.0, 7948.0, 2431.0, 49.0, 318.0, 64945.0, 48114.0, 421.0, 47693.0, 44391.0, 3302.0, 16831.0, 47693.0, 44391.0, 510.0, 3286.0, 4217.0, 731.0, 7834.0, 3743.0, 880.0, 3686.0, 4523.0, 7800.0, 2820.0, 1989.0, 2372.0, 85589.0, 0.38, null, null, null, null, null, null, null, null, null, null
Arizona, 2019, Buckeye city, 79624.0, 202.54, 393.13, 393.26, 0.13, 41967.0, 37657.0, 61615.0, 6149.0, 718.0, 510.0, 171.0, 7492.0, 2969.0, 21691.0, 18061.0, 14515.0, 3546.0, 1369.0, 2177.0, 3630.0, 2268.0, 1362.0, 3304.0, 305.0, 523.0, 1293.0, 404.0, 472.0, 307.0, 0.0, 51939.0, 3913.0, 16861.0, 19046.0, 8492.0, 2511.0, 788.0, 328.0, 60100.0, 36778.0, 485.0, 36293.0, 34753.0, 1540.0, 23322.0, 36293.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 96126.0, 0.34, null, null, null, null, null, null, null, null, null, null
Arizona, 2019, Casas Adobes CDP, 70840.0, 2658.76, 26.64, 26.77, 0.12, 33487.0, 37353.0, 59608.0, 1104.0, 1600.0, 1726.0, 0.0, 3018.0, 3784.0, 29337.0, 17654.0, 14264.0, 3390.0, 936.0, 2454.0, 11683.0, 4854.0, 6829.0, 9314.0, 3727.0, 3717.0, 750.0, 816.0, 230.0, 74.0, 0.0, 50074.0, 2345.0, 11981.0, 18302.0, 10529.0, 5242.0, 720.0, 955.0, 58738.0, 38876.0, 150.0, 38726.0, 37051.0, 1675.0, 19862.0, 38726.0, 37051.0, 43.0, 3157.0, 2451.0, 1219.0, 3392.0, 1908.0, 1010.0, 2659.0, 3126.0, 9646.0, 4011.0, 2237.0, 2192.0, 89396.0, 0.42, null, null, null, null, null, null, null, null, null, null
Arizona, 2019, Chandler city, 261149.0, 4018.84, 64.98, 65.07, 0.09, 128039.0, 133110.0, 180690.0, 14417.0, 6305.0, 30649.0, 122.0, 14471.0, 14495.0, 94035.0, 65233.0, 50249.0, 14984.0, 4517.0, 10467.0, 28802.0, 14056.0, 14746.0, 30744.0, 10501.0, 7846.0, 4593.0, 4691.0, 1592.0, 961.0, 560.0, 176377.0, 13451.0, 30972.0, 51888.0, 51654.0, 23155.0, 1842.0, 3415.0, 203854.0, 142463.0, 18.0, 142445.0, 137863.0, 4582.0, 61391.0, 142445.0, 137863.0, 478.0, 7654.0, 18589.0, 3340.0, 12678.0, 6804.0, 2415.0, 13802.0, 18333.0, 30548.0, 12944.0, 5785.0, 4493.0, 111144.0, 0.42, 136300.0, 121278.0, 107982.0, 13296.0, 1800.0, 273.0, 599.0, 1129.0, 1757.0, 9464.0
Arizona, 2019, Flagstaff city, 75044.0, 1136.64, 66.02, 66.07, 0.05, 38785.0, 36259.0, 58558.0, 1242.0, 3846.0, 2628.0, 308.0, 3364.0, 5098.0, 25609.0, 12509.0, 10077.0, 2432.0, 889.0, 1543.0, 13100.0, 7347.0, 5753.0, 13501.0, 4872.0, 4913.0, 1743.0, 1611.0, 257.0, 0.0, 105.0, 38488.0, 1172.0, 5893.0, 11683.0, 10258.0, 6461.0, 1355.0, 1666.0, 64412.0, 43304.0, 0.0, 43304.0, 39483.0, 3821.0, 21108.0, 43304.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 81277.0, 0.48, null, null, null, null, null, null, null, null, null, null
Arizona, 2019, Gilbert town, 254115.0, 3732.0, 68.09, 68.29, 0.2, 124231.0, 129884.0, 212599.0, 8450.0, 2989.0, 13059.0, 77.0, 6538.0, 10403.0, 81235.0, 63370.0, 51245.0, 12125.0, 4421.0, 7704.0, 17865.0, 7904.0, 9961.0, 19718.0, 5713.0, 4828.0, 4429.0, 2856.0, 922.0, 718.0, 252.0, 156439.0, 4830.0, 25202.0, 53129.0, 48158.0, 18852.0, 2853.0, 3415.0, 188667.0, 132825.0, 52.0, 132773.0, 128319.0, 4454.0, 55842.0, 132773.0, 128319.0, 217.0, 8527.0, 13394.0, 3045.0, 13674.0, 5842.0, 1706.0, 13184.0, 16536.0, 30611.0, 10235.0, 6482.0, 4866.0, 118030.0, 0.37, 126473.0, 110507.0, 98716.0, 11791.0, 480.0, 265.0, 501.0, 593.0, 2100.0, 12027.0
Arizona, 2019, Glendale city, 252384.0, 4242.82, 59.48, 59.88, 0.39, 125841.0, 126543.0, 190046.0, 20321.0, 6871.0, 9797.0, 100.0, 16940.0, 8309.0, 81065.0, 56107.0, 36587.0, 19520.0, 5982.0, 13538.0, 24958.0, 10959.0, 13999.0, 33919.0, 11247.0, 8970.0, 4244.0, 4620.0, 1627.0, 1209.0, 2002.0, 164206.0, 29933.0, 47206.0, 53406.0, 22027.0, 9134.0, 1313.0, 1187.0, 196850.0, 125679.0, 1067.0, 124612.0, 117482.0, 7130.0, 71171.0, 124612.0, 117482.0, 1007.0, 14240.0, 7061.0, 3029.0, 16870.0, 7219.0, 1040.0, 10777.0, 11842.0, 23657.0, 10238.0, 6037.0, 4465.0, 74447.0, 0.45, 116878.0, 100850.0, 86277.0, 14573.0, 5363.0, 743.0, 912.0, 2080.0, 923.0, 6007.0
Arizona, 2019, Goodyear city, 86843.0, 454.2, 191.2, 191.23, 0.03, 41326.0, 45517.0, 65235.0, 7234.0, 1371.0, 4010.0, 0.0, 5648.0, 3345.0, 26158.0, 20203.0, 17446.0, 2757.0, 1095.0, 1662.0, 5955.0, 3195.0, 2760.0, 6483.0, 1565.0, 1134.0, 1596.0, 742.0, 1155.0, 153.0, 138.0, 56708.0, 6601.0, 11815.0, 21633.0, 9055.0, 5867.0, 1220.0, 517.0, 67796.0, 40301.0, 561.0, 39740.0, 37191.0, 2549.0, 27495.0, 39740.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 98908.0, 0.37, null, null, null, null, null, null, null, null, null, null
Arizona, 2019, Mesa city, 517981.0, 3753.28, 138.01, 138.76, 0.76, 257105.0, 260876.0, 421882.0, 28816.0, 16396.0, 13304.0, 1903.0, 19830.0, 15850.0, 187111.0, 120578.0, 88163.0, 32415.0, 8280.0, 24135.0, 66533.0, 30930.0, 35603.0, 69240.0, 21672.0, 21437.0, 9775.0, 8060.0, 5066.0, 1237.0, 1993.0, 344567.0, 32899.0, 80510.0, 130643.0, 67760.0, 25027.0, 4082.0, 3646.0, 402029.0, 265589.0, 503.0, 265086.0, 252190.0, 12896.0, 136440.0, 265086.0, 252190.0, 911.0, 21545.0, 19436.0, 5054.0, 28137.0, 14239.0, 3800.0, 26832.0, 35924.0, 52097.0, 23205.0, 12161.0, 8849.0, 85599.0, 0.44, 249903.0, 217648.0, 188644.0, 29004.0, 3974.0, 885.0, 1959.0, 3148.0, 2289.0, 20000.0
Arizona, 2019, Peoria city, 175960.0, 1001.46, 175.7, 179.11, 3.4, 82727.0, 93233.0, 143477.0, 6275.0, 820.0, 8800.0, 190.0, 7093.0, 9305.0, 66318.0, 47618.0, 38287.0, 9331.0, 2814.0, 6517.0, 18700.0, 6989.0, 11711.0, 16581.0, 7214.0, 4096.0, 2264.0, 1401.0, 926.0, 519.0, 161.0, 127276.0, 8961.0, 26973.0, 48044.0, 27488.0, 11721.0, 2019.0, 2070.0, 143650.0, 86034.0, 256.0, 85778.0, 82809.0, 2969.0, 57616.0, 85778.0, 82809.0, 205.0, 5576.0, 4298.0, 1829.0, 9382.0, 5436.0, 1663.0, 9374.0, 11918.0, 17948.0, 6669.0, 3308.0, 5203.0, 91456.0, 0.41, 82441.0, 72755.0, 64157.0, 8598.0, 1350.0, 362.0, 230.0, 545.0, 495.0, 6704.0
Arizona, 2019, Phoenix city, 1680988.0, 3247.22, 517.67, 518.92, 1.25, 838675.0, 842313.0, 1289208.0, 122763.0, 34465.0, 67512.0, 5668.0, 96681.0, 64691.0, 586878.0, 376518.0, 249727.0, 126791.0, 41443.0, 85348.0, 210360.0, 105080.0, 105280.0, 267225.0, 91353.0, 73478.0, 36799.0, 29445.0, 21110.0, 9539.0, 5501.0, 1099238.0, 195778.0, 265129.0, 324432.0, 199100.0, 80485.0, 22776.0, 11538.0, 1307644.0, 885247.0, 1127.0, 884120.0, 845269.0, 38851.0, 422397.0, 884120.0, 845269.0, 2676.0, 78313.0, 56200.0, 21447.0, 101645.0, 52206.0, 16728.0, 80339.0, 124808.0, 162068.0, 86803.0, 35261.0, 26775.0, 84077.0, 0.46, 834179.0, 723026.0, 627880.0, 95146.0, 26228.0, 2713.0, 4403.0, 12880.0, 11797.0, 53132.0
Arizona, 2019, San Tan Valley CDP, 100732.0, 2746.85, 36.67, 36.67, 0.0, 47333.0, 53399.0, 82250.0, 4771.0, 5672.0, 1198.0, 0.0, 3981.0, 2860.0, 30387.0, 24435.0, 19689.0, 4746.0, 1372.0, 3374.0, 5952.0, 2825.0, 3127.0, 5521.0, 683.0, 1210.0, 490.0, 1409.0, 887.0, 214.0, 628.0, 62362.0, 4566.0, 19670.0, 23502.0, 11034.0, 2605.0, 449.0, 536.0, 74345.0, 47595.0, 271.0, 47324.0, 44989.0, 2335.0, 26750.0, 47324.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 81629.0, 0.31, null, null, null, null, null, null, null, null, null, null
Arizona, 2019, Scottsdale city, 258064.0, 1402.67, 183.98, 184.45, 0.47, 124930.0, 133134.0, 228165.0, 5238.0, 3567.0, 12995.0, 249.0, 1416.0, 6434.0, 123791.0, 65823.0, 54279.0, 11544.0, 2846.0, 8698.0, 57968.0, 24547.0, 33421.0, 40569.0, 20902.0, 12247.0, 4956.0, 1773.0, 691.0, 0.0, 0.0, 204968.0, 6056.0, 25120.0, 49595.0, 72190.0, 34583.0, 10557.0, 6867.0, 225750.0, 141869.0, 0.0, 141869.0, 137779.0, 4090.0, 83881.0, 141869.0, 137779.0, 954.0, 5359.0, 8648.0, 4686.0, 14536.0, 3775.0, 2405.0, 24512.0, 25222.0, 26009.0, 13117.0, 6130.0, 2426.0, 133464.0, 0.51, 135346.0, 103758.0, 94660.0, 9098.0, 814.0, 130.0, 1314.0, 2597.0, 2532.0, 24201.0
Arizona, 2019, Surprise city, 141674.0, 1309.78, 108.17, 108.28, 0.11, 67406.0, 74268.0, 121534.0, 8080.0, 1349.0, 3090.0, 243.0, 3934.0, 3444.0, 49127.0, 37488.0, 29359.0, 8129.0, 2075.0, 6054.0, 11639.0, 5293.0, 6346.0, 10572.0, 2269.0, 2737.0, 2259.0, 1662.0, 966.0, 90.0, 589.0, 93866.0, 5251.0, 24046.0, 34277.0, 19801.0, 7850.0, 1459.0, 1182.0, 108464.0, 59323.0, 1066.0, 58257.0, 55755.0, 2502.0, 49141.0, 58257.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 89499.0, 0.37, null, null, null, null, null, null, null, null, null, null
