STATE, YEAR, CITY, Total Population,Population Density (Per Sq. Mile),Area (Land),Area Total,Area (Water),Male,Female,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Households,Family Households,Married-Couple Family,Other Family,Male Householder No Wife Present,Female Householder No Husband Present,Nonfamily Households,Male Householder,Female Householder,Renter-Occupied Housing Units,1-Person Household,2-Person Household,3-Person Household,4-Person Household,5-Person Household,6-Person Household,7-or-More Person Household,Population 25 Years and Over,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Population 16 Years and Over,In Labor Force,In Armed Forces,Civilian,Employed,Unemployed,Not in Labor Force,Civilian Population in Labor Force 16 Years and Over,Total Employed Civilian Population 16 Years and Over,Agriculture Forestry Fishing and Hunting and Mining,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing and Utilities,Information,Finance and Insurance and Real Estate and Rental  and Leasing,Professional Scientific and Management and    Administrative and Waste Management Services,Educational Services and Health Care and Social  Assistance,Arts Entertainment and Recreation and  Accommodation and Food Services,Other Services Except Public Administration,Public Administration,Average Household Income (In 2019 Inflation-Adjusted Dollars),Gini Index,Workers 16 Years and Over,Car Truck or Van,Drove Alone,Carpooled,Public Transportation (Includes Taxicab),Motorcycle,Bicycle,Walked,Other Means,Worked At Home,aggravated-assault, arson, burglary, homicide, human-trafficing, larceny, motor-vehicle-theft, property-crime, rape, rape-legacy, robbery, violent-crime
California, 2019, Bakersfield city, 384159.0, 2565.7, 149.73, 151.2, 1.47, 192743.0, 191416.0, 259241.0, 26672.0, 4369.0, 29637.0, 844.0, 46814.0, 16582.0, 116558.0, 87269.0, 60745.0, 26524.0, 7506.0, 19018.0, 29289.0, 14770.0, 14519.0, 47302.0, 13389.0, 11663.0, 7722.0, 6459.0, 4123.0, 1890.0, 2056.0, 232621.0, 44138.0, 58738.0, 77681.0, 34067.0, 13219.0, 3639.0, 1139.0, 280234.0, 174022.0, 580.0, 173442.0, 163320.0, 10122.0, 106212.0, 173442.0, 163320.0, 14662.0, 13276.0, 10419.0, 3607.0, 16348.0, 12837.0, 2764.0, 6770.0, 16545.0, 37936.0, 12093.0, 6984.0, 9079.0, 87611.0, 0.46, 158797.0, 148016.0, 133374.0, 14642.0, 1981.0, 280.0, 253.0, 655.0, 1527.0, 6085.0,915, 470, 3888, 34, 0, 9277, 2909, 16074, 116, 0, 701, 1766
California, 2019, Baldwin Park city, 75240.0, 11346.28, 6.63, 6.79, 0.15, 36440.0, 38800.0, 41140.0, 497.0, 933.0, 15749.0, 0.0, 11439.0, 5482.0, 19350.0, 15781.0, 11094.0, 4687.0, 1780.0, 2907.0, 3569.0, 1918.0, 1651.0, 8278.0, 1505.0, 2214.0, 845.0, 933.0, 1375.0, 830.0, 576.0, 50227.0, 16076.0, 15994.0, 11440.0, 5327.0, 1187.0, 117.0, 86.0, 59505.0, 38595.0, 0.0, 38595.0, 36152.0, 2443.0, 20910.0, 38595.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 78535.0, 0.41, null, null, null, null, null, null, null, null, null, null,113, 5, 196, 1, 0, 606, 308, 1110, 24, 0, 50, 188
California, 2019, Bellflower city, 76445.0, 12492.84, 6.12, 6.17, 0.05, 37095.0, 39350.0, 23738.0, 13179.0, 62.0, 6561.0, 248.0, 29889.0, 2768.0, 23369.0, 17037.0, 9952.0, 7085.0, 2009.0, 5076.0, 6332.0, 2828.0, 3504.0, 14672.0, 4212.0, 3300.0, 2661.0, 2082.0, 1251.0, 719.0, 447.0, 52548.0, 13391.0, 11557.0, 18683.0, 6205.0, 2411.0, 224.0, 77.0, 62430.0, 41243.0, 0.0, 41243.0, 39447.0, 1796.0, 21187.0, 41243.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 76035.0, 0.39, null, null, null, null, null, null, null, null, null, null,190, 7, 326, 1, 0, 860, 320, 1506, 29, 0, 107, 327
California, 2019, Buena Park city, 81783.0, 7774.87, 10.52, 10.54, 0.03, 39532.0, 42251.0, 44145.0, 865.0, 48.0, 27646.0, 65.0, 6614.0, 2400.0, 25362.0, 21381.0, 17307.0, 4074.0, 1259.0, 2815.0, 3981.0, 2092.0, 1889.0, 9748.0, 1436.0, 3564.0, 1959.0, 1203.0, 1125.0, 45.0, 416.0, 60671.0, 8900.0, 12811.0, 19234.0, 14385.0, 3979.0, 968.0, 394.0, 68593.0, 46255.0, 68.0, 46187.0, 43755.0, 2432.0, 22338.0, 46187.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 103385.0, 0.38, null, null, null, null, null, null, null, null, null, null,139, 1, 230, 1, 0, 1567, 264, 2061, 15, 0, 91, 246
California, 2019, Burbank city, 102508.0, 5920.16, 17.32, 17.35, 0.04, 47681.0, 54827.0, 73104.0, 2998.0, 747.0, 14081.0, 0.0, 4702.0, 6876.0, 43167.0, 23467.0, 17752.0, 5715.0, 1558.0, 4157.0, 19700.0, 8095.0, 11605.0, 25638.0, 11729.0, 7982.0, 3223.0, 1937.0, 601.0, 166.0, 0.0, 78172.0, 5327.0, 10915.0, 26411.0, 24957.0, 7951.0, 1766.0, 845.0, 86657.0, 57331.0, 49.0, 57282.0, 53658.0, 3624.0, 29326.0, 57282.0, 53658.0, 49.0, 1261.0, 3020.0, 1426.0, 5264.0, 2286.0, 11881.0, 3265.0, 7520.0, 7262.0, 5998.0, 3347.0, 1079.0, 104913.0, 0.5, 53131.0, 42740.0, 39315.0, 3425.0, 2320.0, 207.0, 213.0, 1882.0, 487.0, 5282.0,123, 4, 299, 1, 0, 2107, 211, 2617, 11, 0, 54, 189
California, 2019, Camarillo city, 69887.0, 3551.23, 19.68, 19.7, 0.02, 33056.0, 36831.0, 54288.0, 1397.0, 558.0, 7434.0, 90.0, 2491.0, 3629.0, 27274.0, 17065.0, 13814.0, 3251.0, 969.0, 2282.0, 10209.0, 4859.0, 5350.0, 9907.0, 3326.0, 3004.0, 1640.0, 1262.0, 439.0, 158.0, 78.0, 50531.0, 2853.0, 7143.0, 17314.0, 14384.0, 5677.0, 1746.0, 1414.0, 58152.0, 35512.0, 463.0, 35049.0, 34221.0, 828.0, 22640.0, 35049.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 111161.0, 0.41, null, null, null, null, null, null, null, null, null, null,20, 2, 100, 0, 0, 676, 41, 817, 22, 0, 16, 58
California, 2019, Carlsbad city, 115386.0, 3056.56, 37.75, 39.05, 1.3, 56400.0, 58986.0, 96652.0, 441.0, 50.0, 12311.0, 0.0, 471.0, 5461.0, 44966.0, 31139.0, 25622.0, 5517.0, 910.0, 4607.0, 13827.0, 5277.0, 8550.0, 15779.0, 5588.0, 4634.0, 2906.0, 1744.0, 821.0, 86.0, 0.0, 84026.0, 2801.0, 6911.0, 23003.0, 30192.0, 14371.0, 4361.0, 2387.0, 94786.0, 61337.0, 55.0, 61282.0, 56797.0, 4485.0, 33449.0, 61282.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 158306.0, 0.45, null, null, null, null, null, null, null, null, null, null,158, 11, 297, 3, 0, 1671, 167, 2135, 40, 0, 39, 240
California, 2019, Carson city, 91407.0, 4881.74, 18.72, 18.97, 0.24, 46301.0, 45106.0, 20981.0, 25604.0, 184.0, 25774.0, 1258.0, 12764.0, 4842.0, 25573.0, 20611.0, 14823.0, 5788.0, 2478.0, 3310.0, 4962.0, 1762.0, 3200.0, 7588.0, 1574.0, 1844.0, 1250.0, 774.0, 1211.0, 831.0, 104.0, 66788.0, 11819.0, 13006.0, 22041.0, 15429.0, 3751.0, 320.0, 422.0, 78969.0, 49432.0, 0.0, 49432.0, 47509.0, 1923.0, 29537.0, 49432.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 105429.0, 0.4, null, null, null, null, null, null, null, null, null, null,286, 14, 328, 5, 0, 1277, 399, 2004, 31, 0, 122, 444
California, 2019, Chico city, 103315.0, 3087.64, 33.46, 33.63, 0.17, 48967.0, 54348.0, 84193.0, 2672.0, 479.0, 4133.0, 359.0, 6821.0, 4658.0, 37040.0, 20169.0, 14097.0, 6072.0, 1751.0, 4321.0, 16871.0, 6808.0, 10063.0, 20141.0, 6656.0, 6830.0, 4002.0, 1812.0, 335.0, 467.0, 39.0, 60740.0, 5263.0, 10041.0, 20650.0, 15861.0, 4874.0, 2012.0, 2039.0, 85279.0, 55395.0, 141.0, 55254.0, 51807.0, 3447.0, 29884.0, 55254.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 86875.0, 0.51, null, null, null, null, null, null, null, null, null, null,353, 48, 272, 0, 0, 1753, 381, 2406, 100, 0, 104, 557
California, 2019, Chino city, 94352.0, 3183.08, 29.64, 29.74, 0.1, 49347.0, 45005.0, 63597.0, 3722.0, 289.0, 14109.0, 1088.0, 7439.0, 4108.0, 26079.0, 21322.0, 15940.0, 5382.0, 1652.0, 3730.0, 4757.0, 2354.0, 2403.0, 9644.0, 1963.0, 2433.0, 1976.0, 1831.0, 958.0, 396.0, 87.0, 69001.0, 12461.0, 15394.0, 22433.0, 13463.0, 4417.0, 652.0, 181.0, 79558.0, 46950.0, 0.0, 46950.0, 46111.0, 839.0, 32608.0, 46950.0, 46111.0, 548.0, 2351.0, 4700.0, 2173.0, 3423.0, 4451.0, 897.0, 3570.0, 4990.0, 8716.0, 5346.0, 1835.0, 3111.0, 96907.0, 0.35, 45471.0, 42585.0, 38465.0, 4120.0, 938.0, 33.0, 52.0, 92.0, 388.0, 1383.0,195, 5, 376, 3, 0, 1649, 199, 2224, 35, 0, 96, 329
