STATE, YEAR, CITY, Total Population,Population Density (Per Sq. Mile),Area (Land),Area Total,Area (Water),Male,Female,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Households,Family Households,Married-Couple Family,Other Family,Male Householder No Wife Present,Female Householder No Husband Present,Nonfamily Households,Male Householder,Female Householder,Renter-Occupied Housing Units,1-Person Household,2-Person Household,3-Person Household,4-Person Household,5-Person Household,6-Person Household,7-or-More Person Household,Population 25 Years and Over,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Population 16 Years and Over,In Labor Force,In Armed Forces,Civilian,Employed,Unemployed,Not in Labor Force,Civilian Population in Labor Force 16 Years and Over,Total Employed Civilian Population 16 Years and Over,Agriculture Forestry Fishing and Hunting and Mining,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing and Utilities,Information,Finance and Insurance and Real Estate and Rental  and Leasing,Professional Scientific and Management and    Administrative and Waste Management Services,Educational Services and Health Care and Social  Assistance,Arts Entertainment and Recreation and  Accommodation and Food Services,Other Services Except Public Administration,Public Administration,Average Household Income (In 2019 Inflation-Adjusted Dollars),Gini Index,Workers 16 Years and Over,Car Truck or Van,Drove Alone,Carpooled,Public Transportation (Includes Taxicab),Motorcycle,Bicycle,Walked,Other Means,Worked At Home,aggravated-assault, arson, burglary, homicide, human-trafficing, larceny, motor-vehicle-theft, property-crime, rape, rape-legacy, robbery, violent-crime
Arizona, 2019, Gilbert town, 254115.0, 3732.0, 68.09, 68.29, 0.2, 124231.0, 129884.0, 212599.0, 8450.0, 2989.0, 13059.0, 77.0, 6538.0, 10403.0, 81235.0, 63370.0, 51245.0, 12125.0, 4421.0, 7704.0, 17865.0, 7904.0, 9961.0, 19718.0, 5713.0, 4828.0, 4429.0, 2856.0, 922.0, 718.0, 252.0, 156439.0, 4830.0, 25202.0, 53129.0, 48158.0, 18852.0, 2853.0, 3415.0, 188667.0, 132825.0, 52.0, 132773.0, 128319.0, 4454.0, 55842.0, 132773.0, 128319.0, 217.0, 8527.0, 13394.0, 3045.0, 13674.0, 5842.0, 1706.0, 13184.0, 16536.0, 30611.0, 10235.0, 6482.0, 4866.0, 118030.0, 0.37, 126473.0, 110507.0, 98716.0, 11791.0, 480.0, 265.0, 501.0, 593.0, 2100.0, 12027.0,152, 11, 414, 1, 0, 2559, 155, 3128, 52, 49, 45, 250
Arizona, 2019, Glendale city, 252384.0, 4242.82, 59.48, 59.88, 0.39, 125841.0, 126543.0, 190046.0, 20321.0, 6871.0, 9797.0, 100.0, 16940.0, 8309.0, 81065.0, 56107.0, 36587.0, 19520.0, 5982.0, 13538.0, 24958.0, 10959.0, 13999.0, 33919.0, 11247.0, 8970.0, 4244.0, 4620.0, 1627.0, 1209.0, 2002.0, 164206.0, 29933.0, 47206.0, 53406.0, 22027.0, 9134.0, 1313.0, 1187.0, 196850.0, 125679.0, 1067.0, 124612.0, 117482.0, 7130.0, 71171.0, 124612.0, 117482.0, 1007.0, 14240.0, 7061.0, 3029.0, 16870.0, 7219.0, 1040.0, 10777.0, 11842.0, 23657.0, 10238.0, 6037.0, 4465.0, 74447.0, 0.45, 116878.0, 100850.0, 86277.0, 14573.0, 5363.0, 743.0, 912.0, 2080.0, 923.0, 6007.0,550, 31, 1416, 17, 0, 5857, 810, 8083, 63, 0, 233, 863
Arizona, 2019, Goodyear city, 86843.0, 454.2, 191.2, 191.23, 0.03, 41326.0, 45517.0, 65235.0, 7234.0, 1371.0, 4010.0, 0.0, 5648.0, 3345.0, 26158.0, 20203.0, 17446.0, 2757.0, 1095.0, 1662.0, 5955.0, 3195.0, 2760.0, 6483.0, 1565.0, 1134.0, 1596.0, 742.0, 1155.0, 153.0, 138.0, 56708.0, 6601.0, 11815.0, 21633.0, 9055.0, 5867.0, 1220.0, 517.0, 67796.0, 40301.0, 561.0, 39740.0, 37191.0, 2549.0, 27495.0, 39740.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 98908.0, 0.37, null, null, null, null, null, null, null, null, null, null,119, 0, 330, 1, 0, 1608, 107, 2045, 33, 0, 19, 172
Arizona, 2019, Mesa city, 517981.0, 3753.28, 138.01, 138.76, 0.76, 257105.0, 260876.0, 421882.0, 28816.0, 16396.0, 13304.0, 1903.0, 19830.0, 15850.0, 187111.0, 120578.0, 88163.0, 32415.0, 8280.0, 24135.0, 66533.0, 30930.0, 35603.0, 69240.0, 21672.0, 21437.0, 9775.0, 8060.0, 5066.0, 1237.0, 1993.0, 344567.0, 32899.0, 80510.0, 130643.0, 67760.0, 25027.0, 4082.0, 3646.0, 402029.0, 265589.0, 503.0, 265086.0, 252190.0, 12896.0, 136440.0, 265086.0, 252190.0, 911.0, 21545.0, 19436.0, 5054.0, 28137.0, 14239.0, 3800.0, 26832.0, 35924.0, 52097.0, 23205.0, 12161.0, 8849.0, 85599.0, 0.44, 249903.0, 217648.0, 188644.0, 29004.0, 3974.0, 885.0, 1959.0, 3148.0, 2289.0, 20000.0,1125, 27, 1357, 9, 0, 6715, 751, 8823, 264, 0, 344, 1742
Arizona, 2019, Peoria city, 175960.0, 1001.46, 175.7, 179.11, 3.4, 82727.0, 93233.0, 143477.0, 6275.0, 820.0, 8800.0, 190.0, 7093.0, 9305.0, 66318.0, 47618.0, 38287.0, 9331.0, 2814.0, 6517.0, 18700.0, 6989.0, 11711.0, 16581.0, 7214.0, 4096.0, 2264.0, 1401.0, 926.0, 519.0, 161.0, 127276.0, 8961.0, 26973.0, 48044.0, 27488.0, 11721.0, 2019.0, 2070.0, 143650.0, 86034.0, 256.0, 85778.0, 82809.0, 2969.0, 57616.0, 85778.0, 82809.0, 205.0, 5576.0, 4298.0, 1829.0, 9382.0, 5436.0, 1663.0, 9374.0, 11918.0, 17948.0, 6669.0, 3308.0, 5203.0, 91456.0, 0.41, 82441.0, 72755.0, 64157.0, 8598.0, 1350.0, 362.0, 230.0, 545.0, 495.0, 6704.0,250, 9, 438, 4, 0, 2592, 243, 3273, 70, 0, 83, 407
Arizona, 2019, Phoenix city, 1680988.0, 3247.22, 517.67, 518.92, 1.25, 838675.0, 842313.0, 1289208.0, 122763.0, 34465.0, 67512.0, 5668.0, 96681.0, 64691.0, 586878.0, 376518.0, 249727.0, 126791.0, 41443.0, 85348.0, 210360.0, 105080.0, 105280.0, 267225.0, 91353.0, 73478.0, 36799.0, 29445.0, 21110.0, 9539.0, 5501.0, 1099238.0, 195778.0, 265129.0, 324432.0, 199100.0, 80485.0, 22776.0, 11538.0, 1307644.0, 885247.0, 1127.0, 884120.0, 845269.0, 38851.0, 422397.0, 884120.0, 845269.0, 2676.0, 78313.0, 56200.0, 21447.0, 101645.0, 52206.0, 16728.0, 80339.0, 124808.0, 162068.0, 86803.0, 35261.0, 26775.0, 84077.0, 0.46, 834179.0, 723026.0, 627880.0, 95146.0, 26228.0, 2713.0, 4403.0, 12880.0, 11797.0, 53132.0,7336, 201, 9471, 131, 0, 39427, 7076, 55974, 1139, 0, 3197, 11803
Arizona, 2019, Scottsdale city, 258064.0, 1402.67, 183.98, 184.45, 0.47, 124930.0, 133134.0, 228165.0, 5238.0, 3567.0, 12995.0, 249.0, 1416.0, 6434.0, 123791.0, 65823.0, 54279.0, 11544.0, 2846.0, 8698.0, 57968.0, 24547.0, 33421.0, 40569.0, 20902.0, 12247.0, 4956.0, 1773.0, 691.0, 0.0, 0.0, 204968.0, 6056.0, 25120.0, 49595.0, 72190.0, 34583.0, 10557.0, 6867.0, 225750.0, 141869.0, 0.0, 141869.0, 137779.0, 4090.0, 83881.0, 141869.0, 137779.0, 954.0, 5359.0, 8648.0, 4686.0, 14536.0, 3775.0, 2405.0, 24512.0, 25222.0, 26009.0, 13117.0, 6130.0, 2426.0, 133464.0, 0.51, 135346.0, 103758.0, 94660.0, 9098.0, 814.0, 130.0, 1314.0, 2597.0, 2532.0, 24201.0,166, 15, 662, 3, 0, 4173, 264, 5099, 136, 0, 110, 415
Arizona, 2019, Surprise city, 141674.0, 1309.78, 108.17, 108.28, 0.11, 67406.0, 74268.0, 121534.0, 8080.0, 1349.0, 3090.0, 243.0, 3934.0, 3444.0, 49127.0, 37488.0, 29359.0, 8129.0, 2075.0, 6054.0, 11639.0, 5293.0, 6346.0, 10572.0, 2269.0, 2737.0, 2259.0, 1662.0, 966.0, 90.0, 589.0, 93866.0, 5251.0, 24046.0, 34277.0, 19801.0, 7850.0, 1459.0, 1182.0, 108464.0, 59323.0, 1066.0, 58257.0, 55755.0, 2502.0, 49141.0, 58257.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 89499.0, 0.37, null, null, null, null, null, null, null, null, null, null,60, 10, 217, 4, 0, 1729, 137, 2083, 28, 0, 46, 138
Arizona, 2019, Tempe city, 195816.0, 4898.16, 39.98, 40.23, 0.25, 102984.0, 92832.0, 144455.0, 14782.0, 3601.0, 18138.0, 204.0, 8049.0, 6587.0, 76669.0, 36371.0, 23844.0, 12527.0, 5085.0, 7442.0, 40298.0, 22844.0, 17454.0, 45880.0, 16186.0, 17770.0, 6065.0, 4619.0, 752.0, 488.0, 0.0, 125911.0, 5495.0, 14015.0, 43117.0, 37809.0, 18634.0, 2867.0, 3974.0, 173914.0, 120010.0, 104.0, 119906.0, 113292.0, 6614.0, 53904.0, 119906.0, 113292.0, 331.0, 3885.0, 8153.0, 2842.0, 12530.0, 3924.0, 2129.0, 10050.0, 15958.0, 31727.0, 16123.0, 3358.0, 2282.0, 83824.0, 0.44, 111887.0, 87671.0, 78994.0, 8677.0, 5101.0, 519.0, 3553.0, 6585.0, 2416.0, 6042.0,531, 19, 922, 8, 0, 5891, 607, 7420, 141, 0, 209, 889
Arizona, 2019, Tucson city, 548082.0, 2302.73, 238.01, 238.33, 0.32, 274387.0, 273695.0, 394079.0, 28528.0, 20580.0, 17344.0, 1733.0, 50570.0, 35248.0, 217993.0, 114697.0, 70486.0, 44211.0, 13133.0, 31078.0, 103296.0, 53046.0, 50250.0, 110477.0, 49646.0, 29763.0, 11872.0, 9637.0, 5687.0, 2430.0, 1442.0, 355457.0, 55281.0, 82862.0, 120190.0, 59204.0, 27865.0, 3902.0, 6153.0, 450072.0, 279978.0, 5926.0, 274052.0, 256810.0, 17242.0, 170094.0, 274052.0, 256810.0, 2566.0, 16286.0, 15469.0, 3980.0, 31233.0, 11616.0, 3344.0, 15377.0, 31723.0, 67868.0, 32811.0, 14164.0, 10373.0, 59412.0, 0.45, 256628.0, 215849.0, 192655.0, 23194.0, 6503.0, 848.0, 5813.0, 9309.0, 2443.0, 15863.0,2103, 142, 2497, 40, 0, 13196, 2250, 17943, 527, 0, 1105, 3775
